epocas,batch,optimizador,callbacks,red,mae
50,16,SGD,0,0,0.8362639546394348
50,16,SGD,0,1,0.8178185224533081
50,16,SGD,0,2,0.8120810389518738
50,16,SGD,0,3,0.9817603230476379
50,16,SGD,0,4,0.863746166229248
50,16,SGD,0,5,0.828101396560669
50,16,SGD,0,6,0.9594823122024536
50,16,SGD,1,0,0.8777462840080261
50,16,SGD,1,1,0.8732423186302185
50,16,SGD,1,2,0.8778048753738403
50,16,SGD,1,3,0.8094803690910339
50,16,SGD,1,4,0.8659188151359558
50,16,SGD,1,5,0.8741858601570129
50,16,SGD,1,6,0.8522564768791199
50,16,adam,0,0,0.8543219566345215
50,16,adam,0,1,0.9758902192115784
50,16,adam,0,2,0.8615342974662781
50,16,adam,0,3,0.9144033789634705
50,16,adam,0,4,0.9005717039108276
50,16,adam,0,5,0.8162955045700073
50,16,adam,0,6,1.0622037649154663
50,16,adam,1,0,0.8868913054466248
50,16,adam,1,1,0.8751080632209778
50,16,adam,1,2,0.855180025100708
50,16,adam,1,3,0.9252385497093201
50,16,adam,1,4,1.0357918739318848
50,16,adam,1,5,0.8666477203369141
50,16,adam,1,6,0.9990976452827454
50,48,SGD,0,0,0.8886761665344238
50,48,SGD,0,1,0.8653139472007751
50,48,SGD,0,2,0.8516797423362732
50,48,SGD,0,3,0.8866872191429138
50,48,SGD,0,4,0.9805129170417786
50,48,SGD,0,5,0.8090418577194214
50,48,SGD,0,6,0.8471400141716003
50,48,SGD,1,0,0.8451010584831238
50,48,SGD,1,1,0.8746760487556458
50,48,SGD,1,2,0.8912644386291504
50,48,SGD,1,3,0.9861037135124207
50,48,SGD,1,4,0.9937481880187988
50,48,SGD,1,5,0.8477751612663269
50,48,SGD,1,6,1.1613115072250366
50,48,adam,0,0,0.8319424390792847
50,48,adam,0,1,0.8469458818435669
50,48,adam,0,2,0.8188394904136658
50,48,adam,0,3,0.898717999458313
50,48,adam,0,4,0.8948561549186707
50,48,adam,0,5,0.8297226428985596
50,48,adam,0,6,0.946962833404541
50,48,adam,1,0,0.8354092836380005
50,48,adam,1,1,0.891686737537384
50,48,adam,1,2,0.9006905555725098
50,48,adam,1,3,0.900871992111206
50,48,adam,1,4,1.013588547706604
50,48,adam,1,5,0.868438720703125
50,48,adam,1,6,1.124925971031189
80,16,SGD,0,0,1.0047540664672852
80,16,SGD,0,1,0.8853908777236938
80,16,SGD,0,2,0.9502630829811096
80,16,SGD,0,3,1.0154998302459717
80,16,SGD,0,4,0.9593351483345032
80,16,SGD,0,5,0.9683701395988464
80,16,SGD,0,6,0.954451858997345
80,16,SGD,1,0,0.8845051527023315
80,16,SGD,1,1,0.8939635753631592
80,16,SGD,1,2,0.8938059210777283
80,16,SGD,1,3,1.0772255659103394
80,16,SGD,1,4,0.8569061756134033
80,16,SGD,1,5,0.8947775959968567
80,16,SGD,1,6,0.8927660584449768
80,16,adam,0,0,0.8473078608512878
80,16,adam,0,1,0.8967782855033875
80,16,adam,0,2,0.9256699681282043
80,16,adam,0,3,0.9193606376647949
80,16,adam,0,4,0.9786387085914612
80,16,adam,0,5,0.9292162656784058
80,16,adam,0,6,0.8546677827835083
80,16,adam,1,0,0.9037076234817505
80,16,adam,1,1,0.8536362648010254
80,16,adam,1,2,0.8992362022399902
80,16,adam,1,3,0.9840940833091736
80,16,adam,1,4,0.9357048273086548
80,16,adam,1,5,0.8656706809997559
80,16,adam,1,6,0.9492483735084534
80,48,SGD,0,0,0.8481253385543823
80,48,SGD,0,1,0.8520246148109436
80,48,SGD,0,2,0.861009418964386
80,48,SGD,0,3,0.9930997490882874
80,48,SGD,0,4,0.9044966101646423
80,48,SGD,0,5,0.8430935740470886
80,48,SGD,0,6,0.9410821199417114
80,48,SGD,1,0,0.8884272575378418
80,48,SGD,1,1,0.8845318555831909
80,48,SGD,1,2,0.8880301117897034
80,48,SGD,1,3,1.101940393447876
80,48,SGD,1,4,0.9594107866287231
80,48,SGD,1,5,0.8954894542694092
80,48,SGD,1,6,0.9816972017288208
80,48,adam,0,0,0.8543576002120972
80,48,adam,0,1,0.9364017248153687
80,48,adam,0,2,0.8337292671203613
80,48,adam,0,3,0.9154938459396362
80,48,adam,0,4,0.9679045677185059
80,48,adam,0,5,0.9661687016487122
80,48,adam,0,6,0.9312705993652344
80,48,adam,1,0,0.8672114014625549
80,48,adam,1,1,0.8801183104515076
80,48,adam,1,2,0.8478173613548279
80,48,adam,1,3,0.9246493577957153
80,48,adam,1,4,1.0379308462142944
80,48,adam,1,5,0.8640919923782349
80,48,adam,1,6,0.9238473176956177
