id_equipo,temporada,liga,nombre
3,2022,premier,Tottenham-Hotspur-Fc
4,2022,premier,Arsenal
6,2022,premier,West-Ham-United
7,2022,premier,Leicester-City-Fc
8,2022,premier,Brighton-Amp-Hov
9,2022,premier,Wolverhampton
10,2022,premier,Newcastle-United-Fc
11,2022,premier,Crystal-Palace-Fc
12,2022,premier,Brentford
13,2022,premier,Aston-Villa-Fc
14,2022,premier,Southampton-Fc
15,2022,premier,Everton-Fc
16,2022,premier,Leeds-United-Afc
